시간,사고율
2022-12-01,0.0006464026869929466
2022-11-01,0.0007722187247997541
2022-10-01,0.0008221348702339768
2022-09-01,0.000743043991395277
2022-08-01,0.0006655486057896347
2022-07-01,0.0006947233391941118
2022-06-01,0.0006587107776479603
2022-05-01,0.0007396250773244399
2022-04-01,0.0006495936734590613
2022-03-01,0.0005132929658350196
2022-02-01,0.0004300993901113153
2022-01-01,0.0005627532560597972
2021-12-01,0.0006440870222066865
2021-11-01,0.0007466629221483776
2021-10-01,0.0007760414565976968
2021-09-01,0.000712553945711456
2021-08-01,0.00064383805157576
2021-07-01,0.0006986115903795757
2021-06-01,0.0006856651175714011
2021-05-01,0.0006645026139426541
2021-04-01,0.0006528009942891117
2021-03-01,0.0006500623173489209
2021-02-01,0.0005427559754196276
2021-01-01,0.0005098918521373382
2020-12-01,0.0006153207814410997
2020-11-01,0.0007880233485181251
2020-10-01,0.0008483063200450113
2020-09-01,0.0007605973119225597
2020-08-01,0.0007109045921503968
2020-07-01,0.0007190509396540301
2020-06-01,0.0007793339111809163
2020-05-01,0.0007353436346612966
2020-04-01,0.0006365012849505463
2020-03-01,0.0005694296905039656
2020-02-01,0.0005884378346791099
2020-01-01,0.0006861940047227092
2019-12-01,0.000854317961503252
2019-11-01,0.0009747794909751241
2019-10-01,0.0010014488345646679
2019-09-01,0.0008558162392330017
2019-08-01,0.0009070573375904398
2019-07-01,0.0008120665295243118
2019-06-01,0.0008066727296972131
2019-05-01,0.0008989666378497917
2019-04-01,0.0008222548180866094
2019-03-01,0.0007488392093288764
2019-02-01,0.0005903214255213631
2019-01-01,0.0006877094779550907
2018-12-01,0.0008135085405370199
2018-11-01,0.0009020891342223959
2018-10-01,0.000914138700275186
2018-09-01,0.0008571475094849625
2018-08-01,0.000833374041326755
2018-07-01,0.0008454236073795451
2018-06-01,0.0007933173757999121
2018-05-01,0.0008503085665901356
2018-04-01,0.0007942943676420302
2018-03-01,0.0007627049647468777
2018-02-01,0.0007063651018513995
2018-01-01,0.0007011544786934363
2017-12-01,0.000775360342373961
2017-11-01,0.0008818874894589958
2017-10-01,0.0009083405394062863
2017-09-01,0.0009380108521850041
2017-08-01,0.0008518597030323417
2017-07-01,0.0007696407640069794
2017-06-01,0.0008168272855345786
2017-05-01,0.0008450677037215509
2017-04-01,0.0007667809748234884
2017-03-01,0.000711372559393353
2017-02-01,0.0006141397271546635
2017-01-01,0.0006699056162327353
2016-12-01,0.0008267890897537525
2016-11-01,0.0008825502171073534
2016-10-01,0.0009547588712343187
2016-09-01,0.0008235798162369984
2016-08-01,0.0008572771881629155
2016-07-01,0.0008283937265121294
2016-06-01,0.0008083357670324168
2016-05-01,0.0009030093357766602
2016-04-01,0.0008528644370773788
2016-03-01,0.0007754407134856882
2016-02-01,0.000650680205521876
2016-01-01,0.000636238474696483
